cut_off,previous_year_cutoff,rank,branch,category,district,sports_quota,college_name,college_fees
157,149,5340,Aerospace,BC,Namakkal,No,M.P. Nachimuthu M.Jaganathan Engineering College - Chennimalai,162000.0
153,158,5297,CSE,ST,Sivagangai,No,Sudharsan Engineering College - Sivagangai,176000.0
147,143,7359,CSE,MBC,Erode,No,K.S. Rangasamy College of Technology - Tiruchengode,190000.0
175,169,2360,Civil,ST,Madurai,No,Thiagarajar College of Engineering - Thiruparankundram,237000.0
158,150,4487,Mechanical,BC,Pudukkottai,No,Pudukkottai Engineering College - Pudukkottai,157000.0
131,137,10000,Chemical,BC,Ramanathapuram,No,Mohamed Sathak Engineering College - Ramanathapuram,143000.0
159,151,4425,CSE,BC,Kanyakumari,No,Mar Ephraem College of Engineering - Elavuvilai,175000.0
169,173,3207,IT,BC,Virudhunagar,No,Kamraj College of Engineering - Virudhunagar,179000.0
130,136,10000,Chemical,MBC,Thiruvallur,No,R.M.K. Engineering College - Kavaraipettai,169000.0
149,157,6661,Biotech,SC,Kallakurichi,No,S.K.P. Engineering College - Kallakurichi,158000.0
158,161,4364,Chemical,BC,Thiruvarur,No,A.V.C. College of Engineering - Thiruvarur,158000.0
160,159,4655,ECE,ST,Ranipet,No,Vels Institute of Technology - Ranipet,167000.0
140,136,7716,Chemical,OC,Tenkasi,No,S.V. College of Engineering - Tenkasi,154000.0
130,130,10000,Biotech,OC,Kancheepuram,Yes,Shivani Engineering College - Sriperumbudur,196000.0
130,130,10000,EIE,MBC,Theni,No,Sree Sowdambika College of Engineering - Theni,163000.0
148,153,7117,Civil,MBC,Ramanathapuram,No,Syed Ammal Engineering College - Ramanathapuram,131000.0
143,135,7416,EIE,BC,Dindigul,No,R.V.S. College of Engineering - Dindigul,150000.0
164,156,4295,Mechanical,MBC,Trichy,No,M.I.E.T. Engineering College - Gundur,177000.0
156,159,5409,Mechanical,MBC,Sivagangai,No,Sivagangai Engineering College - Sivagangai,159000.0
152,144,6631,Civil,ST,Thoothukkudi,No,Rani Anna Government College - Thoothukkudi,46000.0
154,153,5684,EIE,SC,Thiruvallur,Yes,Gojan School of Business and Technology - Redhills,200000.0
137,141,9238,Mechanical,SC,Coimbatore,No,Kumaraguru College of Technology - Chinnavedampatti,197000.0
137,131,9262,Civil,BC,Pudukkottai,No,Shanmuganathan Engineering College - Pudukkottai,140000.0
142,146,7518,Civil,SC,Vellore,Yes,Aishwarya College of Engineering - Gudiyatham,176000.0
144,148,7578,Aerospace,OC,Krishnagiri,Yes,Adhiyamaan College of Engineering - Hosur,176000.0
144,149,7614,Aerospace,ST,Thoothukkudi,No,Dr. Sivanthi Aditanar College of Engineering - Thoothukkudi,159000.0
137,132,9314,ECE,SC,Villupuram,Yes,Mailam Engineering College - Mailam,161000.0
137,131,8872,Biotech,BC,Pudukkottai,Yes,M.A.M. College of Engineering - Pudukkottai,155000.0
130,130,10000,Biotech,MBC,Kancheepuram,Yes,Madha Engineering College - Kundrathur,178000.0
130,130,9738,Civil,MBC,Namakkal,No,Vivekanandha College of Engineering - Tiruchengode,137000.0
144,148,8035,EIE,BC,Ramanathapuram,No,Ramanathapuram Engineering College - Ramanathapuram,161000.0
155,153,6049,Biotech,BC,Karur,Yes,Sengunthar Engineering College - Karur,143000.0
149,147,7004,Chemical,MBC,Thiruvarur,No,Thiruvarur Engineering College - Thiruvarur,145000.0
146,143,7660,Chemical,ST,Theni,Yes,Theni Engineering College - Theni,136000.0
149,151,6743,EEE,OC,Ranipet,No,C. Abdul Hakeem College of Engineering - Ranipet,155000.0
137,142,9306,Aerospace,BC,Perambalur,No,Dhanalakshmi Srinivasan Engineering College - Perambalur,181000.0
143,145,8095,EIE,ST,Ramanathapuram,Yes,Sethu Institute of Technology - Ramanathapuram,147000.0
154,149,5169,Civil,BC,Tirunelveli,No,Jayamatha Engineering College - Aralvaimozhi,158000.0
151,151,6548,EEE,BC,Thiruvarur,No,K.M. Engineering College - Thiruvarur,165000.0
142,138,7689,ECE,OC,Dharmapuri,No,Dharmapuri College of Engineering - Palacode,154000.0
131,130,9593,EIE,SC,Nagapattinam,No,E.G.S. Pillay Engineering College - Nagapattinam,147000.0
148,156,6264,Biotech,BC,Krishnagiri,No,Anna University Regional Campus - Krishnagiri,153000.0
158,154,5130,CSE,MBC,Dharmapuri,No,Jayam College of Engineering - Dharmapuri,175000.0
134,139,9136,ECE,OC,Trichy,No,Anna University Trichy Campus - Navalpattu,193000.0
134,130,8774,CSE,OC,Thiruvallur,No,R.M.K. Engineering College - Kavaraipettai,202000.0
130,133,9788,IT,OC,Coimbatore,No,Dr. Mahalingam College of Engineering - Pollachi,231000.0
146,151,7097,Civil,SC,Krishnagiri,No,Hosur Institute of Technology - Hosur,129000.0
159,152,4977,EEE,MBC,Ranipet,Yes,Vels Institute of Technology - Ranipet,155000.0
160,161,4080,Chemical,ST,Coimbatore,No,Sri Krishna College of Engineering - Sugunapuram,183000.0
139,135,8325,CSE,MBC,Sivagangai,No,Alagappa Chettiar College of Engineering - Karaikudi,164000.0
143,150,7154,ECE,BC,Tenkasi,No,S.V. College of Engineering - Tenkasi,161000.0
133,130,9526,Chemical,MBC,Salem,No,The Kavery Engineering College - Mecheri,169000.0
142,143,7773,Civil,OC,Dindigul,No,Sethu Institute of Technology - Dindigul,134000.0
152,157,6536,IT,OC,Thanjavur,No,Shanmuganathan Engineering College - Pudukkottai Road,173000.0
139,131,7787,Biotech,MBC,Ramanathapuram,No,Sethu Institute of Technology - Ramanathapuram,150000.0
147,152,6704,Biotech,OC,Villupuram,No,Bharathiyar Institute of Engineering - Villupuram,157000.0
158,155,5098,IT,BC,Karur,Yes,Chettinad College of Engineering - Karur,172000.0
153,161,5345,Biotech,BC,Virudhunagar,Yes,Virudhunagar Engineering College - Virudhunagar,150000.0
142,143,7306,Aerospace,MBC,Krishnagiri,No,T.J.S. Engineering College - Hosur,174000.0
162,170,4387,Chemical,OC,Salem,No,Vinayaka Mission University - Aarapalayam,153000.0
162,166,4301,IT,OC,Tirunelveli,No,Einstein College of Engineering - Seethaparpanallur,169000.0
157,157,5298,Chemical,OC,Dharmapuri,Yes,M.K. University College - Dharmapuri,148000.0
149,151,5983,EEE,OC,Trichy,No,M.I.E.T. Engineering College - Gundur,176000.0
132,136,9365,Chemical,ST,Tenkasi,No,Ponjesly College of Engineering - Tenkasi,142000.0
146,151,6839,CSE,OC,Perambalur,No,Dhanalakshmi Srinivasan Engineering College - Perambalur,169000.0
134,135,8940,CSE,OC,Kallakurichi,No,Kallakurichi Engineering College - Kallakurichi,172000.0
130,130,9728,Mechanical,SC,Thiruvallur,No,Sri Venkateswara College of Engineering Technology - Thiruvallur,193000.0
165,168,3433,CSE,ST,Sivagangai,No,C.E.C. College of Engineering - Sivagangai,170000.0
159,158,5097,ECE,OC,Coimbatore,No,Park College of Technology - Karumathampatti,214000.0
142,138,7244,ECE,OC,Chengalpattu,No,Agni College of Technology - Thalambur,206000.0
152,151,6055,Biotech,BC,Tenkasi,No,Ponjesly College of Engineering - Tenkasi,166000.0
177,185,1946,CSE,BC,Tirunelveli,No,Government College of Engineering Tirunelveli - Vannarpettai,61000.0
132,130,9593,EEE,OC,Erode,No,Angel College of Engineering - Gobichettipalayam,161000.0
152,149,6560,EIE,MBC,Thoothukkudi,No,Dr. Sivanthi Aditanar College of Engineering - Thoothukkudi,158000.0
130,131,9916,EEE,SC,Chennai,No,Rajalakshmi Engineering College - Thandalam,207000.0
152,158,6620,Mechanical,BC,Tirunelveli,No,Einstein College of Engineering - Seethaparpanallur,152000.0
130,130,10000,ECE,OC,Salem,No,Shree Venkateshwara College - Gobi,192000.0
133,139,9205,Chemical,ST,Chengalpattu,No,B.S. Abdur Rahman Crescent Institute - Vandalur,180000.0
137,143,8967,Aerospace,MBC,Thiruvallur,Yes,Sri Venkateswara College of Engineering Technology - Thiruvallur,190000.0
130,130,9526,Chemical,OC,Dharmapuri,No,M.K. University College - Dharmapuri,155000.0
158,160,5173,Chemical,OC,Dindigul,No,PSNA College of Engineering - Dindigul,141000.0
142,141,7900,Aerospace,BC,Salem,No,Vinayaka Mission University - Aarapalayam,196000.0
147,149,6725,Aerospace,BC,Kanyakumari,No,Rohini College of Engineering - Anjugramam,182000.0
149,146,7164,Aerospace,BC,Nagapattinam,No,E.G.S. Pillay Engineering College - Nagapattinam,167000.0
158,166,5326,IT,ST,Ramanathapuram,No,Mohamed Sathak Engineering College - Ramanathapuram,167000.0
143,141,8224,Chemical,BC,Perambalur,No,Roever Engineering College - Perambalur,154000.0
165,157,3689,CSE,MBC,Sivagangai,No,Sudharsan Engineering College - Sivagangai,188000.0
156,151,5644,EEE,OC,Ramanathapuram,No,Ramanathapuram Engineering College - Ramanathapuram,148000.0
145,143,7731,IT,OC,Kanyakumari,No,Vins Christian College - Nagercoil,169000.0
140,146,8178,EEE,SC,Sivagangai,No,Sudharsan Engineering College - Sivagangai,171000.0
163,168,3950,Chemical,ST,Erode,No,K.S. Rangasamy College of Technology - Tiruchengode,162000.0
134,132,9009,EIE,OC,Ramanathapuram,No,Kamaraj College of Engineering - Ramanathapuram,152000.0
141,134,8234,Mechanical,MBC,Karur,No,Sengunthar Engineering College - Karur,145000.0
130,133,9660,EIE,BC,Kallakurichi,No,S.K.P. Engineering College - Kallakurichi,145000.0
165,168,3692,Mechanical,SC,Thanjavur,No,PRIST University - Vallam,165000.0
159,167,4705,CSE,MBC,Cuddalore,No,Christ College of Engineering - Puducherry,169000.0
152,156,6049,Mechanical,OC,Theni,Yes,Theni Kammavar Sangam College of Engineering - Theni,151000.0
143,143,7993,Biotech,OC,Namakkal,No,N.P.R. College of Engineering - Namakkal,148000.0
155,156,5241,EIE,OC,Tirunelveli,No,Rani Anna Government College - Alwarkurichi,61000.0
157,155,5445,Aerospace,ST,Tirunelveli,No,Jayamatha Engineering College - Aralvaimozhi,173000.0
130,130,10000,EEE,OC,Thiruvarur,No,Thiruvarur Engineering College - Thiruvarur,174000.0
160,166,4663,EEE,ST,Chengalpattu,No,Meenakshi College of Engineering - Vembuliamman Koil Street,181000.0
146,148,7477,ECE,ST,Chennai,No,Sri Sairam Engineering College - Tambaram,237000.0
130,130,9695,Civil,MBC,Thanjavur,No,PRIST University - Vallam,141000.0
146,140,6627,EIE,MBC,Chengalpattu,No,Valliammai Engineering College - Kattankulathur,180000.0
138,146,8289,Civil,MBC,Coimbatore,No,Park College of Technology - Karumathampatti,189000.0
144,152,7253,Chemical,MBC,Kancheepuram,No,P.B. College of Engineering - Irungattukottai,175000.0
139,143,7826,Biotech,OC,Namakkal,No,K.S. Rangasamy College of Technology - Tiruchengode,164000.0
150,148,6134,Civil,MBC,Krishnagiri,No,Hosur Institute of Technology - Hosur,145000.0
152,150,6434,IT,BC,Dharmapuri,No,P.G.P. College of Engineering - Namakkal,182000.0
154,157,5267,Chemical,BC,Krishnagiri,No,P.S.V. College of Engineering - Krishnagiri,140000.0
151,154,5658,EIE,BC,Chengalpattu,No,Valliammai Engineering College - Kattankulathur,178000.0
139,146,8272,IT,MBC,Thoothukkudi,No,Dr. Sivanthi Aditanar College of Engineering - Thoothukkudi,180000.0
154,148,6142,EIE,OC,Virudhunagar,Yes,P.S.R. Engineering College - Sivakasi,145000.0
145,146,7625,Chemical,BC,Krishnagiri,No,T.J.S. Engineering College - Hosur,155000.0
158,162,5525,CSE,OC,Trichy,No,National Institute of Technology Trichy - Thuvakudi,211000.0
155,160,5484,CSE,OC,Namakkal,No,K.S.R. College of Engineering - Tiruchengode,182000.0
132,137,9050,EIE,ST,Salem,No,Shree Venkateshwara College - Gobi,182000.0
130,134,10000,Chemical,OC,Vellore,No,Kingston Engineering College - Katpadi,197000.0
130,130,9453,Chemical,ST,Krishnagiri,No,Alpha College of Engineering - Hosur,149000.0
162,170,3855,IT,SC,Madurai,No,Velammal College of Engineering - Ambai Road,216000.0
147,152,7291,Aerospace,OC,Thiruvallur,No,Sri Venkateswara College of Engineering Technology - Thiruvallur,207000.0
160,160,4039,IT,ST,Thanjavur,No,Periyar Maniammai University - Vallam,176000.0
181,177,1419,EEE,BC,Coimbatore,Yes,Amrita Vishwa Vidyapeetham - Ettimadai,373000.0
132,131,9263,Civil,BC,Thiruvarur,No,K.M. Engineering College - Thiruvarur,141000.0
165,169,3315,Chemical,SC,Madurai,No,P.T.R. College of Engineering - Austinpatti,185000.0
136,137,8675,Aerospace,MBC,Chennai,No,Panimalar Engineering College - Poonamallee,227000.0
159,160,4851,EIE,BC,Vellore,No,Priyadarshini Engineering College - Vaniyambadi,188000.0
130,134,10000,EIE,BC,Kallakurichi,No,S.K.P. Engineering College - Kallakurichi,146000.0
153,151,5845,ECE,BC,Erode,No,K.S. Rangasamy College of Technology - Tiruchengode,166000.0
139,134,8695,Civil,MBC,Thiruvarur,Yes,K.M. Engineering College - Thiruvarur,148000.0
141,142,8305,EEE,BC,Nagapattinam,No,M.R.K. College of Engineering - Nagapattinam,162000.0
145,139,7647,Mechanical,SC,Nagapattinam,Yes,A.V.C. College of Engineering - Nagapattinam,159000.0
139,132,8517,ECE,ST,Chengalpattu,No,Jeppiaar Institute of Technology - Sriperumbudur,202000.0
137,130,9113,EIE,OC,Thiruvallur,No,A.R. Engineering College - Villivakkam,181000.0
189,195,1,Chemical,MBC,Madurai,No,Thiagarajar College of Engineering - Thiruparankundram,263000.0
138,135,9145,CSE,OC,Theni,Yes,Sree Sowdambika College of Engineering - Theni,174000.0
147,155,6859,Chemical,SC,Theni,No,Theni Engineering College - Theni,138000.0
130,130,10000,Civil,SC,Perambalur,No,Srinivasan Engineering College - Perambalur,148000.0
141,141,8436,Mechanical,OC,Cuddalore,No,Christ College of Engineering - Puducherry,162000.0
130,132,10000,Chemical,BC,Pudukkottai,Yes,Shanmuganathan Engineering College - Pudukkottai,159000.0
150,142,5901,EEE,ST,Namakkal,No,K.S.R. College of Engineering - Tiruchengode,163000.0
141,133,8133,Aerospace,SC,Karur,No,V.S.B. Engineering College - Karur,176000.0
167,171,3328,CSE,OC,Chennai,No,Madras Institute of Technology - Anna University,241000.0
146,152,7513,Biotech,OC,Coimbatore,No,Dr. Mahalingam College of Engineering - Pollachi,200000.0
130,130,9622,Aerospace,BC,Erode,No,Nandha Engineering College - Erode,196000.0
159,157,4638,Mechanical,SC,Erode,No,Angel College of Engineering - Gobichettipalayam,165000.0
158,159,4373,ECE,OC,Dindigul,Yes,P.S.N.A. College of Engineering - Dindigul,161000.0
134,139,9364,Aerospace,OC,Virudhunagar,No,S.Vellaichamy Nadar College - Virudhunagar,165000.0
143,139,7371,EEE,ST,Virudhunagar,No,P.S.R. Engineering College - Sivakasi,170000.0
159,157,5041,EEE,ST,Kanyakumari,No,Lourdes Mount College of Engineering - Mulagumoodu,160000.0
132,140,9986,Mechanical,MBC,Sivagangai,No,K.L.N. College of Engineering - Sivagangai,161000.0
131,130,9514,IT,OC,Pudukkottai,No,M.A.M. College of Engineering - Pudukkottai,176000.0
137,136,8160,ECE,MBC,Ramanathapuram,No,Kamaraj College of Engineering - Ramanathapuram,153000.0
158,161,4885,EIE,ST,Erode,No,Erode Sengunthar Engineering College - Thudupathi,174000.0
141,134,8257,Chemical,MBC,Trichy,No,Oxford Engineering College - Pirattiyur,167000.0
158,150,4819,Civil,OC,Thiruvarur,No,Thiruvarur Engineering College - Thiruvarur,135000.0
132,137,9631,Biotech,BC,Villupuram,No,Bharathiyar Institute of Engineering - Villupuram,149000.0
143,142,8031,Civil,MBC,Tenkasi,No,Government College of Engineering - Tenkasi,51000.0
131,139,9375,Civil,SC,Perambalur,No,Perambalur College of Engineering - Perambalur,149000.0
147,147,6850,IT,OC,Nagapattinam,Yes,E.G.S. Pillay Engineering College - Nagapattinam,159000.0
163,159,4644,EEE,BC,Chennai,Yes,Saveetha Engineering College - Thandalam,211000.0
158,156,4854,IT,BC,Kanyakumari,No,Rohini College of Engineering - Anjugramam,163000.0
145,146,7591,Mechanical,MBC,Tirunelveli,No,Einstein College of Engineering - Seethaparpanallur,157000.0
136,142,8405,EEE,OC,Chennai,No,Saveetha Engineering College - Thandalam,233000.0
137,145,8442,IT,MBC,Virudhunagar,Yes,Kamraj College of Engineering - Virudhunagar,178000.0
130,137,10000,CSE,MBC,Erode,No,Akshaya College of Engineering - Coimbatore Road,202000.0
133,133,10000,IT,BC,Tenkasi,No,Ponjesly College of Engineering - Tenkasi,181000.0
135,130,9625,Aerospace,BC,Thanjavur,No,Anjalai Ammal Mahalingam Engineering College - Kovilvenni,171000.0
143,147,7881,Aerospace,MBC,Tirunelveli,No,Francis Xavier Engineering College - Pettai,180000.0
130,130,9704,Civil,BC,Chennai,No,Easwari Engineering College - Ramapuram,192000.0
162,167,4613,ECE,MBC,Tirunelveli,No,Rani Anna Government College - Alwarkurichi,59000.0
148,145,6788,Chemical,SC,Madurai,Yes,Fatima Michael College of Engineering - Vadakku Vellalur,175000.0
186,193,1,Mechanical,SC,Trichy,No,SASTRA University - Thirumalaisamudram,314000.0
146,153,7660,EIE,SC,Nagapattinam,No,Nagapattinam Engineering College - Nagapattinam,163000.0
140,144,8069,Mechanical,OC,Chengalpattu,No,Dhanalakshmi College of Engineering - Tambaram,170000.0
158,165,4465,ECE,MBC,Salem,No,Mahendra Engineering College - Mallasamudram,181000.0
131,133,10000,Biotech,OC,Krishnagiri,No,T.J.S. Engineering College - Hosur,164000.0
146,144,7715,Mechanical,OC,Vellore,No,Aishwarya College of Engineering - Gudiyatham,184000.0
150,150,6849,EEE,OC,Nagapattinam,No,E.G.S. Pillay Engineering College - Nagapattinam,161000.0
130,130,9449,Chemical,MBC,Dindigul,No,PSNA College of Engineering - Dindigul,148000.0
153,148,6252,IT,BC,Vellore,No,Sakthi Engineering College - Thiruvalam,218000.0
166,174,3581,CSE,OC,Krishnagiri,No,Anna University Regional Campus - Krishnagiri,175000.0
159,164,5280,Biotech,MBC,Thiruvarur,No,S.T. Hindu College - Thiruvarur,158000.0
130,130,10000,Civil,MBC,Coimbatore,No,Kumaraguru College of Technology - Chinnavedampatti,191000.0
149,146,6533,Mechanical,ST,Vellore,No,Aishwarya College of Engineering - Gudiyatham,194000.0
156,156,5367,Mechanical,BC,Salem,No,The Kavery Engineering College - Mecheri,166000.0
140,136,8027,CSE,OC,Vellore,No,Kingston Engineering College - Katpadi,213000.0
136,130,8661,EEE,MBC,Tirunelveli,No,Jayamatha Engineering College - Aralvaimozhi,158000.0
142,141,7901,ECE,MBC,Coimbatore,No,Dr. Mahalingam College of Engineering - Pollachi,227000.0
143,150,8095,Biotech,BC,Thiruvallur,No,A.R. Engineering College - Villivakkam,190000.0
137,136,8769,EIE,ST,Perambalur,No,Srinivasan Engineering College - Perambalur,158000.0
152,149,5845,Civil,OC,Kancheepuram,No,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya - Enathur,172000.0
178,171,1268,EEE,OC,Chennai,No,Veltech University - Avadi,225000.0
130,130,10000,Aerospace,MBC,Namakkal,No,Paavai Engineering College - Namakkal,156000.0
145,142,7105,Biotech,BC,Perambalur,No,Roever Engineering College - Perambalur,164000.0
147,144,6933,CSE,MBC,Trichy,No,M.I.E.T. Engineering College - Gundur,193000.0
130,135,9472,EIE,BC,Kanyakumari,Yes,Bethlahem Institute of Engineering - Karungal,171000.0
164,165,4072,IT,BC,Nagapattinam,No,A.V.C. College of Engineering - Nagapattinam,158000.0
130,130,9882,EEE,BC,Kallakurichi,No,S.K.P. Engineering College - Kallakurichi,167000.0
130,130,9936,Civil,OC,Pudukkottai,Yes,M.A.M. College of Engineering - Pudukkottai,144000.0
143,139,7837,EEE,OC,Kancheepuram,No,Sri Ramanujar Engineering College - Kolathur,186000.0
160,160,5122,Chemical,OC,Namakkal,No,Paavai Engineering College - Namakkal,139000.0
136,131,9104,CSE,OC,Cuddalore,No,Mailam Engineering College - Mailam,165000.0
159,164,4634,EIE,MBC,Thoothukkudi,No,Thoothukkudi Engineering College - Thoothukkudi,149000.0
130,130,10000,Civil,SC,Tenkasi,No,S.V. College of Engineering - Tenkasi,147000.0
130,134,9737,Civil,OC,Vellore,Yes,Priyadarshini Engineering College - Vaniyambadi,169000.0
133,130,9405,Civil,BC,Krishnagiri,No,Anna University Regional Campus - Krishnagiri,129000.0
155,156,4920,Mechanical,ST,Erode,No,Nandha Engineering College - Erode,163000.0
130,130,9971,Aerospace,OC,Ranipet,No,C. Abdul Hakeem College of Engineering - Ranipet,177000.0
141,140,8145,EIE,MBC,Namakkal,No,M.P. Nachimuthu M.Jaganathan Engineering College - Chennimalai,158000.0
152,155,5888,ECE,BC,Thiruvarur,Yes,S.T. Hindu College - Thiruvarur,153000.0
151,145,6283,CSE,OC,Erode,No,Akshaya College of Engineering - Coimbatore Road,175000.0
162,168,4138,Mechanical,OC,Erode,No,Builders Engineering College - Kangayam,157000.0
161,162,4811,EEE,BC,Trichy,No,K.Ramakrishnan College of Engineering - Samayapuram,177000.0
145,151,7645,Aerospace,OC,Erode,No,Angel College of Engineering - Gobichettipalayam,189000.0
150,151,5948,Biotech,OC,Salem,No,Muthayammal Engineering College - Rasipuram,156000.0
133,135,9381,Civil,BC,Coimbatore,No,Dr. Mahalingam College of Engineering - Pollachi,169000.0
156,161,4843,Chemical,BC,Virudhunagar,No,V.P.M.M. Engineering College - Virudhunagar,156000.0
141,146,7532,Civil,MBC,Perambalur,No,Roever Engineering College - Perambalur,149000.0
132,136,10000,Aerospace,BC,Ranipet,No,Ranipet Engineering College - Ranipet,178000.0
152,154,5973,EEE,BC,Erode,No,Surya Engineering College - Mettur Dam,168000.0
152,158,5527,Mechanical,BC,Coimbatore,No,RVS College of Engineering - Sulur,189000.0
130,130,9507,EEE,MBC,Trichy,No,National Institute of Technology Trichy - Thuvakudi,190000.0
137,140,8654,Chemical,ST,Villupuram,Yes,V.R.S. College of Engineering - Villupuram,155000.0
162,167,3870,Aerospace,MBC,Ranipet,No,Vels Institute of Technology - Ranipet,170000.0
133,134,9461,Mechanical,SC,Dharmapuri,No,Dharmapuri College of Engineering - Palacode,140000.0
161,163,4834,Civil,BC,Cuddalore,No,Achariya College of Engineering - Villianur,147000.0
134,130,9857,Mechanical,BC,Dindigul,No,Dindigul Engineering College - Dindigul,152000.0
145,150,6887,Biotech,SC,Erode,Yes,Surya Engineering College - Mettur Dam,165000.0
160,156,4335,ECE,OC,Virudhunagar,No,S.Vellaichamy Nadar College - Virudhunagar,152000.0
151,159,5830,IT,OC,Sivagangai,No,C.E.C. College of Engineering - Sivagangai,184000.0
154,161,5819,Mechanical,OC,Tenkasi,No,Tenkasi Engineering College - Tenkasi,152000.0
152,156,5600,Aerospace,BC,Chennai,No,Madras Institute of Technology - Anna University,234000.0
145,145,7301,EEE,MBC,Dharmapuri,No,V.M.K.V. Engineering College - Salem,148000.0
134,138,9389,CSE,BC,Thoothukkudi,No,National College of Engineering - Thoothukkudi,162000.0
156,152,4768,Biotech,BC,Pudukkottai,No,Pudukkottai Engineering College - Pudukkottai,144000.0
153,151,6269,Mechanical,ST,Salem,No,Vinayaka Mission University - Aarapalayam,153000.0
159,154,4904,Mechanical,OC,Salem,Yes,Vinayaka Mission University - Aarapalayam,169000.0
149,154,6611,EIE,ST,Tenkasi,No,Tenkasi Engineering College - Tenkasi,147000.0
157,161,5135,EEE,MBC,Kallakurichi,No,S.K.P. Engineering College - Kallakurichi,172000.0
157,163,5211,EIE,MBC,Pudukkottai,No,Arasu Engineering College - Pudukkottai,167000.0
149,152,6875,Biotech,MBC,Villupuram,No,Bharathiyar Institute of Engineering - Villupuram,147000.0
135,131,9483,ECE,BC,Pudukkottai,No,M.A.M. College of Engineering - Pudukkottai,165000.0
163,158,4354,IT,OC,Pudukkottai,No,Arasu Engineering College - Pudukkottai,169000.0
139,141,8202,Chemical,MBC,Virudhunagar,No,V.P.M.M. Engineering College - Virudhunagar,144000.0
169,165,2401,CSE,SC,Tirunelveli,No,National College of Engineering - Karumathur,182000.0
150,147,6370,Chemical,BC,Coimbatore,Yes,Kumaraguru College of Technology - Chinnavedampatti,186000.0
155,150,5783,EIE,BC,Kallakurichi,No,Kallakurichi Engineering College - Kallakurichi,151000.0
154,162,5526,Aerospace,MBC,Pudukkottai,Yes,Arasu Engineering College - Pudukkottai,161000.0
155,149,5673,Biotech,BC,Madurai,No,P.T.R. College of Engineering - Austinpatti,190000.0
140,142,8103,Civil,OC,Nagapattinam,Yes,A.V.C. College of Engineering - Nagapattinam,132000.0
148,148,6718,Chemical,OC,Thiruvarur,No,K.M. Engineering College - Thiruvarur,138000.0
145,143,7547,EEE,SC,Namakkal,No,M.P. Nachimuthu M.Jaganathan Engineering College - Chennimalai,150000.0
165,164,3712,CSE,MBC,Namakkal,No,Vivekanandha College of Engineering - Tiruchengode,165000.0
159,159,4993,EEE,BC,Trichy,No,M.I.E.T. Engineering College - Gundur,173000.0
150,147,6046,IT,OC,Thiruvallur,No,J.N.N. Institute of Engineering - Uthukottai,197000.0
176,169,2141,Aerospace,MBC,Madurai,No,Thiagarajar College of Engineering - Thiruparankundram,282000.0
